"id","departamento","grupo","descricao","precounitario","code"
41,"mercearia","alimentos especiais","achocolatado orgânico native sache 400g","17.90","mae039"
42,"frios e laticínios","lácteos","activia café da manhã sabor quinoa, morango e amora 170ml","6.99","fll046"
43,"mercearia","ingredientes","açúcar de confeiteiro monopol baunilha 80g","1.80","mi018"
44,"mercearia","matinais","açúcar direma baunilha 40g","3.49","mm012"
45,"mercearia","alimentos especiais","açúcar fit união 500g","5.80","mae056"
46,"mercearia","alimentos especiais","açúcar mascavo orgânico native 250g","8.50","mae040"
47,"mercearia","matinais","açúcar mascavo união 400g","13.20","mm017"
48,"mercearia","alimentos especiais","açúcar união cristal orgânico 1kg","11.50","mae064"
49,"mercearia","matinais","açúcar união cubos 250g","14.20","mm019"
50,"mercearia","matinais","adoçante união sucralose 65ml","10.50","mm028"
51,"hortifruti","verduras","agrião hidropônico unidade","4.89","hv022"
52,"bebidas","águas e energéticos","água com gás smartwater 591ml com 6 unidades","29.94","bae034"
53,"bebidas","águas e energéticos","água com gás smartwater livre de sódio 591ml","4.99","bae033"
54,"bebidas","águas e energéticos","água com gás versant classique com 12 unidades 510ml","40.20","bae039"
55,"bebidas","águas e energéticos","água de coco campo largo 900ml","12.99","bae021"
56,"bebidas","águas e energéticos","água de coco ducoco 1 litro","13.69","bae036"
57,"bebidas","águas e energéticos","água de coco ducoco 330ml","6.79","bae011"
58,"bebidas","águas e energéticos","água de coco integral vitcoco 1 litro","12.50","bae014"
59,"bebidas","águas e energéticos","água de coco OQ 1 litro","22.59","bae022"
60,"higiene e beleza","mulher","água micelar loréal paris solução de limpeza 5 em 1 100ml","32.50","hbm006"
61,"bebidas","águas e energéticos","água mineral sem gás crystal 500ml","1.90","bae024"
62,"bebidas","águas e energéticos","água mini versant sem gás 5 litros","12.99","bae037"
63,"higiene e beleza","higiene","água oxigenada oxicreme yama 30v 100 ml","3.99","hbh002"
64,"limpeza","casa","água sanitária alvex 2 litros","7.99","lc067"
65,"limpeza","casa","água sanitária ypê com cloro ativo galão 2 litros","9.95","lc057"
66,"limpeza","roupas","água sanitária ypê com cloro ativo galão 2 litros","9.95","lr038"
67,"bebidas","águas e energéticos","água sem gás bonafont natural com 12 unidades","23.88","bae002"
68,"bebidas","águas e energéticos","água sem gás crystal 500ml com 12 unidades","22.80","bae025"
69,"bebidas","águas e energéticos","água sem gás versant classique com 12 unidades 510ml","39.00","bae038"
70,"bebidas","refrigerantes","água tônica antarctica 350ml","3.99","br038"
71,"bebidas","águas e energéticos","água tônica fruki 350ml","3.49","bae018"
72,"bebidas","refrigerantes","água tônica fruki 350ml","3.49","br021"
73,"bebidas","águas e energéticos","água tônica fruki citrus 350ml","3.49","bae023"
74,"bebidas","refrigerantes","água tônica fruki citrus 350ml","3.49","br026"
75,"bebidas","refrigerantes","água tônica schweppes original 350ml","3.65","br017"
76,"bebidas","destilados","aguardente 51 ouro 965ml","26.90","bd031"
77,"bebidas","destilados","aguardente de cana weber haus amburana 700ml","72.90","bd006"
78,"bebidas","destilados","aguardente velho barreiro limão 910ml","32.95","bd011"
79,"hortifruti","temperos frescos","aipo salsão gauer unidade","5.49","htf016"
80,"hortifruti","ovos","albumina naturovos 420g","43.90","ho007"
81,"hortifruti","ovos","albumina naturovos chocolate 1kg","99.90","ho006"
82,"hortifruti","ovos","albumina naturovos sabor morango 420g","53.49","ho005"
83,"carnes","bovina","alcatra bovina 500g","33.47","cb030"
84,"higiene e beleza","higiene","álcool em gel lysoform lavanda 100ml","13.99","hbh009"
85,"limpeza","casa","álcool pronto socorro 70 graus 1 litro","9.95","lc042"
86,"limpeza","casa","álcool zeppelin eucalipto 46 graus 1 litro","9.95","lc068"
87,"hortifruti","temperos frescos","alecrim gauer unidade","5.00","htf011"
88,"hortifruti","temperos frescos","alecrim liofilizado lyovibes vidro 7g","18.95","htf007"
89,"hortifruti","verduras","alface americana coração murakami 200g","4.49","hv016"
90,"hortifruti","verduras","alface americana dico 150g","6.95","hv005"
91,"hortifruti","verduras","alface hidropônica unidade","4.89","hv015"
92,"hortifruti","verduras","alface mimosa hidropônica unidade","4.89","hv013"
93,"hortifruti","verduras","alface mimosa hidropônica viva unidade","4.89","hv017"
94,"hortifruti","verduras","alface roxa hidropônica unidade","4.89","hv020"
95,"padaria","doces e tortas","alfajor branco maguinho 50g","4.30","pdt004"
96,"padaria","doces e tortas","alfajor maguinho 50g","4.30","pdt014"
97,"mercearia","alimentos especiais","alfarroba com biscoito de arroz integral 10g","2.85","mae024"
98,"mercearia","biscoito e salgadinhos","alfarroba com biscoito de arroz integral 10g","2.85","mbs026"
99,"higiene e beleza","higiene","algodão colorido sussex 50g","5.95","hbh035"
100,"higiene e beleza","higiene","algodão cremer hidrófilo 25g","3.95","hbh024"
101,"higiene e beleza","corpo","algodão hidrófilo isababy 25g","3.60","hbc003"
102,"higiene e beleza","higiene","algodão sussex quadradinhos 40g","6.30","hbh026"
103,"hortifruti","temperos frescos","alho 50g","2.99","htf005"
104,"mercearia","temperos e condimentos","alho desidratado areia bombay vidro 75g","21.90","mtc011"
105,"hortifruti","temperos frescos","alho poro","4.90","htf001"
106,"higiene e beleza","mãos e pés","alicate de cutícula com espátula mundial style","12.90","hbmp009"
107,"higiene e beleza","mãos e pés","alicate de cutícula+espátula mundial sandy","13.50","hbmp004"
108,"mercearia","alimentos especiais","alimentação pó athetica best vegan morango 40g","14.50","mae019"
109,"mercearia","alimentos especiais","alimentação pó athetica best vegano cacau 40g","15.49","mae018"
110,"mercearia","matinais","alimentação pó athetica best vegano cacau 40g","15.49","mm024"
111,"frios e laticínios","leite","alimento com soja batavo original 1 litro","7.65","fll041"
112,"mercearia","matinais","alimento pó athetica best vegan morango 40g","14.50","mm025"
113,"pets","aves","alpiste amigo pet 500g","10.90","pa001"
114,"limpeza","banheiro","alvejante girando sol sem cloro 2 litros","13.90","lb033"
115,"limpeza","roupas","alvejante qboa lavanda 1 litro","6.30","lr021"
116,"limpeza","roupas","alvejante vanish sem cloro refil 400g","25.29","lr015"
117,"limpeza","roupas","alvejante vanish white sachê 500ml","14.95","lr037"
118,"limpeza","roupas","amaciante comfort diluído brisa","29.95","lr017"
119,"limpeza","roupas","amaciante concentrado comfort intense cuidado essencial 500ml","18.95","lr028"
120,"limpeza","roupas","amaciante downy concentrado água fresca 1 litro","29.90","lr031"
121,"limpeza","roupas","amaciante downy frescor da primavera 500ml","14.29","lr035"
122,"limpeza","roupas","amaciante girando sol azul 2 litros","8.50","lr022"
123,"limpeza","roupas","amaciante girando sol concentrado eterna magia 1 litro","17.99","lr033"
124,"limpeza","roupas","amaciante girando sol rosas e lavanda 2 litros","8.50","lr030"
125,"limpeza","roupas","amaciante girando sol verde herbal 2 litros","8.50","lr013"
126,"limpeza","roupas","amaciante hipoalergênico girando sol talco 2 litros","8.50","lr023"
127,"higiene e beleza","bebê e infantil","amaciante jimo concentrado baby com glicerina 500ml","18.95","hbbi038"
128,"limpeza","roupas","amaciante jimo concentrado baby com glicerina 500ml","18.95","lr016"
129,"congelados","sucos e sobremesas","ambrosia doce amor congelada zero 95g","16.29","css063"
130,"mercearia","doces e sobremesas","ambrosia doce amor diet 240g","22.95","mds004"
131,"mercearia","grãos e farináceos","amendoim branco fritz e frida 500g","7.49","mgf025"
132,"mercearia","alimentos especiais","amendoim dacolonia doce cri-cri praline 350g","10.99","mae036"
133,"mercearia","biscoito e salgadinhos","amendoim nutri Tchê cricri 160g","4.99","mbs008"
134,"mercearia","biscoito e salgadinhos","amendoim nutri Tchê cru branco 500g","7.99","mbs009"
135,"mercearia","biscoito e salgadinhos","amendoim salgado com pele nutri Tchê 140g","4.99","mbs003"
136,"higiene e beleza","cabelo","ampola pantene restauração 15ml 3 unidades","32.90","hbb002"
137,"carnes","peixes e crustáceos","anéis de lula empanadas seara 300g","38.49","cpc014"
138,"congelados","petiscos e empanados","anel de cebola empanada congelada mccain 400g","23.70","cpe012"
139,"congelados","legumes","antepasto artesanal caponata lyovibes vidro 200g","31.90","cl001"
140,"mercearia","conservas e enlatados","antepasto artesanal italiano lyovibes vidro 200g","31.90","mce007"
141,"mercearia","conservas e enlatados","antepasto de berinjela casa madeira 160g","29.90","mce010"
142,"mercearia","conservas e enlatados","antepasto italiano casa madeira 160g","29.90","mce031"
143,"higiene e beleza","higiene","antisséptico bucal listerine cool mint 250 ml","20.90","hbh019"
144,"higiene e beleza","higiene","antisséptico bucal listerine zero menta 250 ml","20.90","hbh022"
145,"higiene e beleza","homem","aparelho de barbear gillette mach3","34.95","hbhm012"
146,"higiene e beleza","homem","aparelho de barbear gillette mach3 sensitive","32.90","hbhm007"
147,"limpeza","casa","aparelho elétrico sbp 12h","39.90","lc029"
148,"higiene e beleza","mulher","aparelho gillette prestobarba 3 feminino com 2 unidades","22.50","hbm026"
149,"pets","gatos","areia sanitária para gatos mitzi 4kg","12.50","pg026"
150,"pets","gatos","areia sanitária para gatos pipicat classic 4kg","14.95","pg014"
151,"pets","gatos","areia sanitária para gatos pipicat floral 4kg","23.90","pg003"
152,"pets","gatos","areia sanitária para gatos premium beauty cat 2kg","8.99","pg017"
153,"mercearia","arroz e feijão","arroz aromático thai jasmin blue ville","13.99","maf031"
154,"mercearia","arroz e feijão","arroz blue ville arbório para risoto 1kg","16.90","maf032"
155,"mercearia","arroz e feijão","arroz blue ville branco 8 saquinhos 125g cada","8.99","maf015"
156,"mercearia","arroz e feijão","arroz blue ville culinária naturalista 1kg","11.50","maf017"
157,"mercearia","arroz e feijão","arroz blue ville parboilizado 1kg","7.49","maf039"
158,"mercearia","arroz e feijão","arroz blue ville parboilizado saquinho 1kg","8.99","maf020"
159,"mercearia","arroz e feijão","arroz branco blue ville 5kg","33.49","maf024"
160,"mercearia","arroz e feijão","arroz branco namorado 1kg","9.90","maf038"
161,"mercearia","arroz e feijão","arroz camil orgânico 1kg","16.99","maf001"
162,"mercearia","arroz e feijão","arroz cateto integral blue ville 1kg","11.50","maf027"
163,"mercearia","arroz e feijão","arroz com cenoura blue ville 250g","4.20","maf007"
164,"mercearia","arroz e feijão","arroz integral namorado 1kg","9.95","maf036"
165,"mercearia","arroz e feijão","arroz integral orgânico tio João 1kg","16.99","maf030"
166,"mercearia","arroz e feijão","arroz multicereais seleção de grãos blue ville 1kg","12.19","maf022"
167,"mercearia","arroz e feijão","arroz paganini arbóreo 500g","17.02","maf037"
168,"mercearia","arroz e feijão","arroz para carreteiro culinária gaúcha blue ville 1kg","11.90","maf018"
169,"mercearia","arroz e feijão","arroz parboilizado namorado 1kg","9.90","maf034"
170,"mercearia","arroz e feijão","arroz selvagem 250g camil","34.90","maf006"
171,"mercearia","arroz e feijão","arroz tio João 7 grãos integral com passas 500g","10.79","maf026"
172,"mercearia","arroz e feijão","arroz tio João a grega 250g","9.50","maf002"
173,"mercearia","arroz e feijão","arroz tio João branco 5kg","47.95","maf019"
174,"mercearia","arroz e feijão","arroz tio João carreteiro 175g","12.19","maf004"
175,"mercearia","arroz e feijão","arroz tio João com brócolis 250g","9.50","maf003"
176,"mercearia","arroz e feijão","arroz tio João com funghi 250g","9.50","maf005"
177,"mercearia","arroz e feijão","arroz tio João com galinha 175g","11.49","maf014"
178,"mercearia","arroz e feijão","arroz tio João cozinha japonesa especial para sushi 1kg","18.90","maf011"
179,"mercearia","arroz e feijão","arroz tio João integral 1kg","9.49","maf029"
180,"mercearia","arroz e feijão","arroz tio João integral vegetal 250g","8.00","maf009"
181,"mercearia","arroz e feijão","arroz tio João valligiana 175g","11.49","maf008"
182,"mercearia","arroz e feijão","arroz tio João vermelho cozinha francesa 500g","11.90","maf012"
183,"mercearia","arroz e feijão","arroz vermelho com tomate integral tio João cozinha fácil pacote 200g","9.50","maf010"
184,"mercearia","grãos e farináceos","arrozina tradicional maisena 180g","9.98","mgf002"
185,"mercearia","conservas e enlatados","aspargos branco uniagro 200g","25.49","mce017"
186,"mercearia","conservas e enlatados","atum solido em óleo coqueiro 170g","14.50","mce024"
187,"mercearia","matinais","aveia em flocos grossos sem gluten jasmine 200g","17.65","mm009"
188,"mercearia","alimentos especiais","aveia em flocos grossos sem glúten jasmine 200g","17.65","mae005"
189,"mercearia","temperos e condimentos","azeite de oliva deleyda premium extra virgem 500ml","83.90","mtc030"
190,"mercearia","temperos e condimentos","azeite de oliva extra virgem al tartufo nero paganini 250ml","73.69","mtc019"
191,"mercearia","temperos e condimentos","azeite de oliva extra virgem chileno deleyda 250ml","44.19","mtc013"
192,"mercearia","temperos e condimentos","azeite de oliva mykonos grego extra virgem 200ml","42.95","mtc014"
193,"mercearia","conservas e enlatados","azeitona verde com caroço hemmer 180g","7.20","mce001"
194,"mercearia","conservas e enlatados","azeitona verde fatiada hemmer 150g","7.79","mce039"
195,"mercearia","conservas e enlatados","azeitona verde sem caroço hemmer 140g","7.99","mce014"
196,"congelados","carnes aves e peixes","bacalhau dessalgado lombo congelado 600g","179.90","ccap023"
197,"carnes","peixes e crustáceos","bacalhau dessalgado lombo congelado 600g","179.90","cpc020"
198,"congelados","carnes aves e peixes","bacalhau dessalgado morhua 1kg","155.00","ccap003"
199,"carnes","suinas","bacon cubos seara gourmet","16.20","cs020"
200,"carnes","suinas","bacon dália 300g","16.47","cs029"
201,"carnes","suinas","bacon em fatias sadia 250g","24.95","cs021"
202,"carnes","suinas","bacon fatiado dália extra lombo 220g","16.23","cs016"
203,"carnes","suinas","bacon fatiado pamplona 250g","21.90","cs009"
204,"carnes","suinas","bacon perdigão defumado pedaço 280g","17.60","cs034"
205,"carnes","suinas","bacon santa clara 230g","14.88","cs015"
206,"carnes","suinas","bacon santa clara 270g","20.46","cs014"
207,"carnes","suinas","bacon seara double smoked 180g","24.90","cs035"
208,"mercearia","bomboniere","bala de gelatina tubes cítrico tutti frutti fini 80g","8.99","mb003"
209,"mercearia","bomboniere","bala fini tubes acido morango 80g","8.99","mb009"
210,"mercearia","bomboniere","bala fini tubes morango 80g","8.99","mb010"
211,"higiene e beleza","homem","bálsamo para barba QOD 80g","34.90","hbhm017"
212,"hortifruti","frutas","banana caturra 150g","1.07","hf003"
213,"hortifruti","frutas","banana prata 130g","1.27","hf015"
214,"hortifruti","frutas","banana prata orgânica 800g","8.30","hf024"
215,"mercearia","alimentos especiais","bananinha tachão zero açúcar 25g","3.39","mae010"
216,"mercearia","ingredientes","banha pamplona 500g","11.50","mi028"
217,"carnes","suinas","banha suina borrússia 1,5kg","24.90","cs007"
218,"mercearia","alimentos especiais","barra de alfarroba carob house damasco com nozes 30g","8.00","mae008"
219,"mercearia","matinais","barra de proteína sabor banoffee bold 60g","13.29","mm002"
220,"mercearia","matinais","barra de proteína sabor brownie & crispies bold 60g","13.29","mm005"
221,"mercearia","matinais","barra de proteína sabor cookies & cream bold 60g","13.29","mm004"
222,"mercearia","matinais","barra de proteína sabor leite e avelã bold 60g","13.29","mm003"
223,"mercearia","alimentos especiais","barra de proteína vegana café mocha 70g","17.90","mae017"
224,"congelados","carnes aves e peixes","bastonete de surimi congelado lnak kani kama 250g","13.90","ccap025"
225,"carnes","peixes e crustáceos","bastonete de surimi congelado lnak kani kama 250g","13.90","cpc021"
226,"hortifruti","legumes","batata branca 120g","1.35","hl011"
227,"hortifruti","legumes","batata branca miúda LB 2kg","11.95","hl026"
228,"hortifruti","legumes","batata doce branca 250g","1.92","hl008"
229,"hortifruti","legumes","batata doce branca dico 600g","3.20","hl032"
230,"congelados","petiscos e empanados","batata doce congelada bem brasil 1kg","18.99","cpe030"
231,"hortifruti","legumes","batata doce rosa 250g","1.05","hl004"
232,"hortifruti","legumes","batata doce rosa dico 600g","4.65","hl022"
233,"hortifruti","legumes","batata inglesa rosa 180g","1.84","hl028"
234,"congelados","petiscos e empanados","batata palito pré-frita congelada bembrasil tradicional 400g","10.95","cpe002"
235,"congelados","petiscos e empanados","batata palito pré-frita mccain tradicional 1,5kg","36.95","cpe024"
236,"congelados","petiscos e empanados","batata palito pré-frita mccain tradicional 720g","21.90","cpe020"
237,"congelados","petiscos e empanados","batata pré frita mccain forno tradicional 600g","13.50","cpe035"
238,"congelados","petiscos e empanados","batata pré frita palito bem brasil corte especial 1kg","25.49","cpe011"
239,"congelados","petiscos e empanados","batata pré smiles mccain carinha 400g","18.95","cpe026"
240,"congelados","petiscos e empanados","batata pré-frita fininha bem brasil 700g","18.99","cpe025"
241,"congelados","petiscos e empanados","batata pré-frita tradicional congelada bem brasil 2kg","36.90","cpe029"
242,"bebidas","destilados","bebida alcoólica mista weber haus banana 500ml","67.95","bd002"
243,"bebidas","sucos e refrescos","bebida de soja ades laranja 1 litro","6.99","bsr010"
244,"bebidas","sucos e refrescos","bebida de soja ades maçã 1 litro","6.99","bsr011"
245,"bebidas","sucos e refrescos","bebida del valle uva 200ml","2.35","bsr032"
246,"frios e laticínios","lácteos","bebida elegê láctea morango 540g","5.50","fll054"
247,"frios e laticínios","lácteos","bebida hiline F yakult 100ml","5.19","flla041"
248,"frios e laticínios","lácteos","bebida láctea danone yopro banana 250ml","7.49","fll057"
249,"frios e laticínios","lácteos","bebida láctea danone yopro coco com batata doce 250ml","7.49","fll073"
250,"frios e laticínios","lácteos","bebida láctea elegê salada de fruta 170g","2.50","flla040"
251,"frios e laticínios","lácteos","bebida láctea morango e ameixa 540g","5.50","fll045"
252,"frios e laticínios","lácteos","bebida láctea nestlé fast alpino 280ml","6.50","fll050"
253,"frios e laticínios","lácteos","bebida lactea neston mamão/maçã/banana e cereais 170g","3.95","flla007"
254,"frios e laticínios","leite","bebida láctea power whey sabor cappuccino chocolate 3 corações 250ml","8.79","fll014"
255,"frios e laticínios","leite","bebida láctea power whey sabor cappuccino clássico 3 corações 250ml","8.79","fll024"
256,"frios e laticínios","leite","bebida láctea power whey sabor cappuccino cookiesn cream 3 corações 250ml","8.79","fll013"
257,"frios e laticínios","leite","bebida láctea power whey sabor cappuccino doce de leite 3 corações 250ml","8.79","fll029"
258,"frios e laticínios","lácteos","bebida láctea santa clara coco 1 litro","7.99","flla022"
259,"frios e laticínios","lácteos","bebida láctea santa clara morango 1 litro","7.99","flla039"
260,"bebidas","cervejas","bebida mista topo chico lata morango goiaba 310ml","4.99","bc010"
261,"frios e laticínios","leite","bebida vegetal A tal da castanha amêndoa 1 litro","22.49","fll038"
262,"frios e laticínios","leite","bebida vegetal A tal da castanha aveia 1 litro","24.90","fll004"
263,"frios e laticínios","leite","bebida vegetal A tal da castanha choconuts 1 litro","22.49","fll009"
264,"frios e laticínios","leite","bebida vegetal A tal da castanha original 1 litro","22.49","fll023"
265,"frios e laticínios","leite","bebida vegetal silk amêndoa e cacau 1 litro","19.20","fll003"
266,"frios e laticínios","leite","bebida vegetal silk amêndoa sem açúcares 1 litro","19.20","fll002"
267,"hortifruti","legumes","berinjela 250g","4.67","hl007"
268,"hortifruti","verduras","berinjela 250g","4.67","hv003"
269,"hortifruti","legumes","berinjela dico 600g","3.69","hl035"
270,"hortifruti","legumes","beterraba 230g","1.64","hl018"
271,"mercearia","conservas e enlatados","beterraba rio cerro 530g","12.50","mce002"
272,"carnes","bovina","bife alcatra 400g","27.36","cb018"
273,"carnes","bovina","bife alcatra congelado best beef 800g","45.50","cb032"
274,"carnes","bovina","bife contra filé 400g","24.00","cb008"
275,"carnes","bovina","bife coxão de dentro 400g","21.59","cb028"
276,"carnes","bovina","bife coxão fora 400g","23.04","cb023"
277,"carnes","frango","bife de filé de peito resfriado agrosul 700g","18.99","cf019"
278,"carnes","bovina","bife de tatu 400g","23.04","cb001"
279,"carnes","bovina","bife filé mignon 400g","42.45","cb005"
280,"carnes","bovina","bife patinho 400g","24.00","cb019"
281,"pets","cães","bifinho de frango pet fine pote 250g","15.90","pc015"
282,"pets","cães","bifinho keldog carne e leite 65g","4.99","pc049"
283,"pets","cães","bifinho keldog churrasco 65g","4.99","pc050"
284,"pets","cães","bifinho keldog galinha caipira 65g","4.99","pc051"
285,"pets","cães","bifinhos bone demais frango 65g","4.90","pc019"
286,"pets","cães","bifinhos carne pet fine 65g","4.90","pc020"
287,"mercearia","biscoito e salgadinhos","biscoito aperitivo mignon parati 270g","8.80","mbs014"
288,"mercearia","alimentos especiais","biscoito aruba sem glúten cacau 100g","9.50","mae007"
289,"mercearia","alimentos especiais","biscoito aruba zero lactose cacau 80g","10.50","mae006"
290,"mercearia","alimentos especiais","biscoito belvita leite e aveia 75g","7.99","mae077"
291,"mercearia","biscoito e salgadinhos","biscoito bono sabor morango Nestlé 126g","3.20","mbs034"
292,"mercearia","alimentos especiais","biscoito caseiro mosmann amendoim sem glúten 100g","16.50","mae004"
293,"mercearia","alimentos especiais","biscoito caseiro mosmann cookies baunilha sem glúten 100g","16.50","mae050"
294,"mercearia","alimentos especiais","biscoito caseiro mosmann tradicional sem glúten 100g","16.50","mae003"
295,"mercearia","biscoito e salgadinhos","biscoito club social crostini tomate seco e salsinha 80g","7.50","mbs001"
296,"mercearia","biscoito e salgadinhos","biscoito club social sabor presunto 141g","6.19","mbs035"
297,"mercearia","alimentos especiais","biscoito cookies jasmine diet cappuccino com avela 150g","12.50","mae076"
298,"mercearia","alimentos especiais","biscoito cookies jasmine integral castanha do para 150g","8.20","mae070"
299,"mercearia","alimentos especiais","biscoito cookies jasmine limão 150g","8.20","mae069"
300,"mercearia","alimentos especiais","biscoito cookies jasmine orgânico 7 grãos 150g","12.50","mae034"
301,"mercearia","biscoito e salgadinhos","biscoito cookies jasmine orgânico 7 grãos 150g","12.50","mbs030"
302,"mercearia","alimentos especiais","biscoito cookies jasmine orgânico aveia e mel 150g","12.50","mae033"
303,"mercearia","biscoito e salgadinhos","biscoito cookies jasmine orgânico aveia e mel 150g","12.50","mbs029"
304,"mercearia","alimentos especiais","biscoito cookies jasmine orgânico castanha do para 150g","12.50","mae035"
305,"mercearia","biscoito e salgadinhos","biscoito cookies jasmine orgânico castanha do para 150g","12.50","mbs031"
306,"mercearia","alimentos especiais","biscoito cookies jasmine sem glúten castanha do para e caju 150g","14.99","mae049"
307,"mercearia","biscoito e salgadinhos","biscoito cookies jasmine sem glúten castanha do para e caju 150g","14.99","mbs038"
308,"mercearia","alimentos especiais","biscoito cookies jasmine sem glúten laranja e mel 150g","14.99","mae061"
309,"mercearia","alimentos especiais","biscoito cookies linhaça com castanha sem glúten vitalin 30g","3.60","mae063"
310,"mercearia","biscoito e salgadinhos","biscoito cookies orquídea integral cacau e aveia 150g","5.90","mbs013"
311,"mercearia","biscoito e salgadinhos","biscoito dissan cueca virada 250g","10.00","mbs010"
312,"mercearia","biscoito e salgadinhos","biscoito distração sabor chocolate e chocolate branco marilan 320g","9.50","mbs019"
313,"mercearia","biscoito e salgadinhos","biscoito hot cracker pizza 150g","6.50","mbs025"
314,"mercearia","biscoito e salgadinhos","biscoito hot cracker queijo 150g","6.50","mbs024"
315,"mercearia","bomboniere","biscoito milka choco moo 200g","25.90","mb019"
316,"mercearia","biscoito e salgadinhos","biscoito milka choco moo 200g","25.90","mbs016"
317,"mercearia","biscoito e salgadinhos","biscoito mosmann mignon cebola e salsa 50g","3.15","mbs011"
318,"mercearia","biscoito e salgadinhos","biscoito mosmann mignon queijo 50g","3.15","mbs012"
319,"mercearia","biscoito e salgadinhos","biscoito negresco sabor sorvete de morango Nestlé 100g","3.20","mbs039"
320,"mercearia","biscoito e salgadinhos","biscoito nescau Nestlé 140g","4.95","mbs028"
321,"mercearia","alimentos especiais","biscoito orgânico tribos coco 130g","8.99","mae029"
322,"mercearia","biscoito e salgadinhos","biscoito orgânico tribos coco 130g","8.99","mbs027"
323,"mercearia","biscoito e salgadinhos","biscoito orquídea sortidos amanteigados 300g","8.50","mbs015"
324,"pets","cães","biscoito pedigree biscrok junior 300g","24.95","pc011"
325,"mercearia","biscoito e salgadinhos","biscoito pimenta suave leggeritos viterale 100g","7.50","mbs006"
326,"mercearia","biscoito e salgadinhos","biscoito Piraquê leite maltado com chocolate 160g","4.65","mbs032"
327,"mercearia","biscoito e salgadinhos","biscoito sabor azeite e alho leggeritos viterale 100g","7.50","mbs005"
328,"mercearia","alimentos especiais","biscoito sequilhos de cacau 150g leve crock","14.95","mae013"
